Date,Open,High,Low,Close,Volume,Adj Close
2016-07-01,0.16,0.16,0.16,0.16,000,0.16
2016-06-30,0.16,0.16,0.16,0.16,000,0.16
2016-06-29,0.16,0.16,0.16,0.16,104500,0.16
2016-06-28,0.15,0.15,0.15,0.15,61000,0.15
2016-06-27,0.155,0.155,0.145,0.145,50000,0.145
2016-06-24,0.16,0.16,0.14,0.155,169000,0.155
2016-06-23,0.165,0.165,0.165,0.165,25000,0.165
2016-06-22,0.165,0.165,0.165,0.165,63500,0.165
2016-06-21,0.165,0.165,0.165,0.165,85000,0.165
2016-06-20,0.165,0.165,0.165,0.165,5000,0.165
2016-06-17,0.165,0.165,0.165,0.165,104000,0.165
2016-06-16,0.165,0.165,0.165,0.165,25000,0.165
2016-06-15,0.165,0.165,0.165,0.165,10000,0.165
2016-06-14,0.16,0.16,0.16,0.16,85000,0.16
2016-06-13,0.16,0.16,0.16,0.16,000,0.16
2016-06-10,0.16,0.16,0.16,0.16,20000,0.16
2016-06-09,0.17,0.17,0.17,0.17,000,0.17
2016-06-08,0.17,0.17,0.17,0.17,20000,0.17
2016-06-07,0.165,0.17,0.165,0.17,20000,0.17
2016-06-06,0.16,0.18,0.16,0.18,958100,0.18
2016-06-03,0.17,0.17,0.16,0.16,221500,0.16
2016-06-02,0.17,0.17,0.165,0.165,70000,0.165
2016-06-01,0.185,0.185,0.18,0.18,300000,0.18
2016-05-31,0.18,0.185,0.16,0.185,80500,0.185
2016-05-30,0.18,0.18,0.18,0.18,000,0.18
2016-05-27,0.17,0.18,0.17,0.18,60000,0.18
2016-05-26,0.16,0.16,0.16,0.16,5000,0.16
2016-05-25,0.17,0.17,0.17,0.17,000,0.17
2016-05-24,0.17,0.17,0.17,0.17,50000,0.17
2016-05-23,0.18,0.18,0.18,0.18,000,0.18
2016-05-20,0.18,0.18,0.18,0.18,9000,0.18
2016-05-19,0.17,0.17,0.17,0.17,000,0.17
2016-05-18,0.17,0.17,0.17,0.17,20000,0.17
2016-05-17,0.18,0.18,0.17,0.17,35000,0.17
2016-05-16,0.18,0.18,0.18,0.18,50000,0.18
2016-05-13,0.165,0.165,0.165,0.165,000,0.165
2016-05-12,0.165,0.165,0.165,0.165,10000,0.165
2016-05-11,0.16,0.16,0.16,0.16,000,0.16
2016-05-10,0.16,0.16,0.16,0.16,000,0.16
2016-05-09,0.16,0.16,0.16,0.16,20000,0.16
2016-05-06,0.185,0.185,0.185,0.185,000,0.185
2016-05-05,0.185,0.185,0.185,0.185,000,0.185
2016-05-04,0.185,0.185,0.185,0.185,000,0.185
2016-05-03,0.195,0.195,0.185,0.185,74000,0.185
2016-05-02,0.185,0.19,0.185,0.19,55000,0.19
2016-04-29,0.19,0.19,0.16,0.16,70000,0.16
2016-04-28,0.20,0.20,0.19,0.19,95500,0.19
2016-04-27,0.205,0.205,0.19,0.19,116000,0.19
2016-04-26,0.205,0.205,0.205,0.205,50000,0.205
2016-04-25,0.21,0.21,0.205,0.21,150000,0.21
2016-04-22,0.205,0.22,0.20,0.20,72000,0.20
2016-04-21,0.20,0.205,0.195,0.205,69000,0.205
2016-04-20,0.195,0.20,0.195,0.20,61500,0.20
2016-04-19,0.18,0.20,0.18,0.185,86500,0.185
2016-04-18,0.18,0.185,0.18,0.185,10000,0.185
2016-04-15,0.20,0.20,0.20,0.20,60000,0.20
2016-04-14,0.18,0.20,0.18,0.20,54000,0.20
2016-04-13,0.175,0.175,0.175,0.175,15000,0.175
2016-04-12,0.205,0.205,0.18,0.18,32500,0.18
2016-04-11,0.22,0.22,0.22,0.22,27000,0.22
2016-04-08,0.19,0.22,0.19,0.22,250000,0.22
2016-04-07,0.155,0.19,0.155,0.19,461000,0.19
2016-04-06,0.16,0.165,0.15,0.16,2005000,0.16
2016-04-05,0.15,0.15,0.15,0.15,60000,0.15
2016-04-04,0.17,0.17,0.155,0.155,73000,0.155
2016-04-01,0.155,0.20,0.15,0.20,88000,0.20
2016-03-31,0.15,0.15,0.15,0.15,86000,0.15
2016-03-30,0.15,0.15,0.15,0.15,38000,0.15
2016-03-29,0.155,0.155,0.15,0.15,55000,0.15
2016-03-28,0.155,0.175,0.155,0.175,31500,0.175
2016-03-25,0.16,0.16,0.16,0.16,000,0.16
2016-03-24,0.16,0.16,0.16,0.16,95000,0.16
2016-03-23,0.155,0.155,0.155,0.155,6000,0.155
2016-03-22,0.17,0.17,0.17,0.17,000,0.17
2016-03-21,0.17,0.17,0.17,0.17,15000,0.17
2016-03-18,0.18,0.18,0.165,0.17,7500,0.17
2016-03-17,0.175,0.175,0.175,0.175,000,0.175
2016-03-16,0.175,0.175,0.175,0.175,35000,0.175
2016-03-15,0.17,0.17,0.17,0.17,000,0.17
2016-03-14,0.165,0.17,0.165,0.17,139500,0.17
2016-03-11,0.15,0.165,0.15,0.155,27500,0.155
2016-03-10,0.155,0.155,0.155,0.155,15000,0.155
2016-03-09,0.17,0.18,0.16,0.165,93000,0.165
2016-03-08,0.155,0.175,0.155,0.17,234000,0.17
2016-03-07,0.155,0.155,0.15,0.155,26000,0.155
2016-03-04,0.15,0.15,0.15,0.15,27500,0.15
2016-03-03,0.16,0.16,0.15,0.15,11000,0.15
2016-03-02,0.145,0.155,0.145,0.15,33500,0.15
2016-03-01,0.145,0.145,0.145,0.145,4000,0.145
2016-02-29,0.155,0.16,0.15,0.15,53000,0.15
2016-02-26,0.135,0.17,0.135,0.15,320500,0.15
2016-02-25,0.12,0.12,0.12,0.12,500,0.12
2016-02-24,0.13,0.135,0.13,0.135,46000,0.135
2016-02-23,0.13,0.13,0.13,0.13,5000,0.13
2016-02-22,0.135,0.135,0.135,0.135,000,0.135
2016-02-19,0.13,0.135,0.13,0.135,49000,0.135
2016-02-18,0.12,0.12,0.12,0.12,000,0.12
2016-02-17,0.12,0.12,0.12,0.12,000,0.12
2016-02-16,0.12,0.12,0.12,0.12,52000,0.12
2016-02-15,0.12,0.12,0.12,0.12,000,0.12
2016-02-12,0.105,0.12,0.105,0.12,20500,0.12
2016-02-11,0.10,0.115,0.10,0.115,70000,0.115
2016-02-10,0.10,0.10,0.10,0.10,000,0.10
2016-02-09,0.10,0.10,0.10,0.10,80000,0.10
2016-02-08,0.10,0.10,0.10,0.10,000,0.10
2016-02-05,0.10,0.10,0.10,0.10,20000,0.10
2016-02-04,0.12,0.12,0.12,0.12,000,0.12
2016-02-03,0.12,0.12,0.12,0.12,11000,0.12
2016-02-02,0.115,0.115,0.115,0.115,000,0.115
2016-02-01,0.115,0.115,0.115,0.115,13000,0.115
2016-01-29,0.115,0.12,0.11,0.11,27000,0.11
2016-01-28,0.11,0.11,0.11,0.11,13000,0.11
2016-01-27,0.09,0.09,0.09,0.09,000,0.09
2016-01-26,0.09,0.09,0.09,0.09,000,0.09
2016-01-25,0.09,0.09,0.09,0.09,000,0.09
2016-01-22,0.09,0.09,0.09,0.09,000,0.09
2016-01-21,0.09,0.09,0.09,0.09,000,0.09
2016-01-20,0.09,0.09,0.09,0.09,000,0.09
2016-01-19,0.09,0.09,0.09,0.09,000,0.09
2016-01-18,0.09,0.09,0.09,0.09,000,0.09
2016-01-15,0.09,0.09,0.09,0.09,100000,0.09
2016-01-14,0.115,0.115,0.115,0.115,000,0.115
2016-01-13,0.115,0.115,0.115,0.115,000,0.115
2016-01-12,0.115,0.115,0.115,0.115,000,0.115
2016-01-11,0.115,0.115,0.115,0.115,000,0.115
2016-01-08,0.115,0.115,0.115,0.115,000,0.115
2016-01-07,0.115,0.115,0.115,0.115,000,0.115
2016-01-06,0.115,0.115,0.115,0.115,000,0.115
2016-01-05,0.115,0.115,0.115,0.115,000,0.115
2016-01-04,0.115,0.115,0.115,0.115,000,0.115
2016-01-01,0.115,0.115,0.115,0.115,000,0.115
2015-12-31,0.115,0.115,0.115,0.115,000,0.115
2015-12-30,0.115,0.115,0.115,0.115,000,0.115
2015-12-29,0.115,0.115,0.115,0.115,000,0.115
2015-12-28,0.115,0.115,0.115,0.115,000,0.115
2015-12-25,0.115,0.115,0.115,0.115,000,0.115
2015-12-24,0.115,0.115,0.115,0.115,000,0.115
2015-12-23,0.115,0.115,0.115,0.115,50000,0.115
2015-12-22,0.12,0.12,0.12,0.12,000,0.12
2015-12-21,0.12,0.12,0.12,0.12,2000,0.12
2015-12-18,0.09,0.09,0.09,0.09,000,0.09
2015-12-17,0.10,0.10,0.09,0.09,60000,0.09
2015-12-16,0.10,0.10,0.10,0.10,000,0.10
2015-12-15,0.10,0.10,0.10,0.10,000,0.10
2015-12-14,0.105,0.105,0.10,0.10,80000,0.10
2015-12-11,0.135,0.135,0.135,0.135,000,0.135
2015-12-10,0.135,0.135,0.135,0.135,2500,0.135
2015-12-09,0.10,0.10,0.10,0.10,000,0.10
2015-12-08,0.11,0.11,0.10,0.10,144500,0.10
2015-12-07,0.13,0.13,0.13,0.13,000,0.13
2015-12-04,0.13,0.13,0.13,0.13,70000,0.13
2015-12-03,0.11,0.11,0.11,0.11,000,0.11
2015-12-02,0.11,0.11,0.11,0.11,5000,0.11
2015-12-01,0.125,0.125,0.125,0.125,000,0.125
2015-11-30,0.135,0.135,0.125,0.125,94000,0.125
2015-11-27,0.135,0.135,0.135,0.135,200000,0.135
2015-11-26,0.145,0.145,0.145,0.145,1000,0.145
2015-11-25,0.135,0.135,0.135,0.135,000,0.135
2015-11-24,0.135,0.135,0.135,0.135,000,0.135
2015-11-23,0.135,0.135,0.135,0.135,147000,0.135
2015-11-20,0.14,0.14,0.14,0.14,5000,0.14
2015-11-19,0.125,0.125,0.125,0.125,500,0.125
2015-11-18,0.125,0.125,0.125,0.125,5500,0.125
2015-11-17,0.13,0.13,0.125,0.125,24500,0.125
2015-11-16,0.15,0.15,0.125,0.125,19000,0.125
2015-11-13,0.15,0.15,0.15,0.15,000,0.15
2015-11-12,0.15,0.15,0.15,0.15,20000,0.15
2015-11-11,0.17,0.17,0.17,0.17,30000,0.17
2015-11-10,0.15,0.16,0.15,0.16,181000,0.16
2015-11-09,0.15,0.15,0.15,0.15,8500,0.15
2015-11-06,0.16,0.16,0.15,0.15,33000,0.15
2015-11-05,0.16,0.16,0.16,0.16,97000,0.16
2015-11-04,0.15,0.15,0.15,0.15,65000,0.15
2015-11-03,0.16,0.16,0.16,0.16,000,0.16
2015-11-02,0.16,0.16,0.16,0.16,5000,0.16
2015-10-30,0.15,0.15,0.14,0.14,100000,0.14
2015-10-29,0.15,0.15,0.15,0.15,4500,0.15
2015-10-28,0.15,0.15,0.15,0.15,000,0.15
2015-10-27,0.15,0.15,0.15,0.15,15500,0.15
2015-10-26,0.15,0.15,0.15,0.15,35000,0.15
2015-10-23,0.15,0.16,0.15,0.16,59500,0.16
2015-10-22,0.14,0.14,0.14,0.14,17500,0.14
2015-10-21,0.14,0.15,0.14,0.14,88000,0.14
2015-10-20,0.14,0.15,0.14,0.15,115500,0.15
2015-10-19,0.15,0.15,0.14,0.14,12000,0.14
2015-10-16,0.15,0.17,0.15,0.17,38500,0.17
2015-10-15,0.15,0.155,0.15,0.155,4000,0.155
2015-10-14,0.16,0.16,0.155,0.155,3000,0.155
2015-10-13,0.175,0.175,0.175,0.175,000,0.175
2015-10-12,0.175,0.175,0.175,0.175,000,0.175
2015-10-09,0.16,0.175,0.16,0.175,50000,0.175
2015-10-08,0.15,0.18,0.145,0.16,560000,0.16
2015-10-07,22515.8008,22515.8008,22515.8008,22515.8008,000,22515.8008
2015-10-06,21831.5996,21831.5996,21831.5996,21831.5996,000,21831.5996
2015-10-05,21854.50,21854.50,21854.50,21854.50,000,21854.50
2015-10-02,21506.0996,21506.0996,21506.0996,21506.0996,000,21506.0996
2015-10-01,0.155,0.155,0.155,0.155,000,0.155
2015-09-30,20846.3008,20846.3008,20846.3008,20846.3008,000,20846.3008
2015-09-29,20556.5996,20556.5996,20556.5996,20556.5996,000,20556.5996
2015-09-28,0.193,0.193,0.193,0.193,000,0.193
2015-09-25,21186.3008,21186.3008,21186.3008,21186.3008,000,21186.3008
2015-09-24,21096.00,21096.00,21096.00,21096.00,000,21096.00
2015-09-23,21302.9004,21302.9004,21302.9004,21302.9004,000,21302.9004
2015-09-22,21796.5996,21796.5996,21796.5996,21796.5996,000,21796.5996
2015-09-21,21756.9004,21756.9004,21756.9004,21756.9004,000,21756.9004
2015-09-18,21920.8008,21920.8008,21920.8008,21920.8008,000,21920.8008
2015-09-17,21854.5996,21854.5996,21854.5996,21854.5996,000,21854.5996
2015-09-16,21966.6992,21966.6992,21966.6992,21966.6992,000,21966.6992
2015-09-15,21455.1992,21455.1992,21455.1992,21455.1992,000,21455.1992
2015-09-14,21561.9004,21561.9004,21561.9004,21561.9004,000,21561.9004
2015-09-11,21504.4004,21504.4004,21504.4004,21504.4004,000,21504.4004
2015-09-10,21562.50,21562.50,21562.50,21562.50,000,21562.50
2015-09-09,22131.3008,22131.3008,22131.3008,22131.3008,000,22131.3008
2015-09-08,21259.00,21259.00,21259.00,21259.00,000,21259.00
2015-09-07,20583.50,20583.50,20583.50,20583.50,000,20583.50
2015-09-04,20840.5996,20840.5996,20840.5996,20840.5996,000,20840.5996
2015-09-03,0.15,0.15,0.15,0.15,1000,0.15
2015-09-02,20934.9004,20934.9004,20934.9004,20934.9004,000,20934.9004
2015-09-01,21185.4004,21185.4004,21185.4004,21185.4004,000,21185.4004
2015-08-31,21670.5996,21670.5996,21670.5996,21670.5996,000,21670.5996
2015-08-28,21612.4004,21612.4004,21612.4004,21612.4004,000,21612.4004
2015-08-27,21838.50,21838.50,21838.50,21838.50,000,21838.50
2015-08-26,21080.4004,21080.4004,21080.4004,21080.4004,000,21080.4004
2015-08-25,21405.00,21405.00,21405.00,21405.00,000,21405.00
2015-08-24,21251.5996,21251.5996,21251.5996,21251.5996,000,21251.5996
2015-08-21,22409.5996,22409.5996,22409.5996,22409.5996,000,22409.5996
2015-08-20,22757.50,22757.50,22757.50,22757.50,000,22757.50
2015-08-19,23167.8008,23167.8008,23167.8008,23167.8008,000,23167.8008
2015-08-18,23475.00,23475.00,23475.00,23475.00,000,23475.00
2015-08-17,23814.6992,23814.6992,23814.6992,23814.6992,000,23814.6992
2015-08-14,23991.00,23991.00,23991.00,23991.00,000,23991.00
2015-08-13,24018.8008,24018.8008,24018.8008,24018.8008,000,24018.8008
2015-08-12,23916.00,23916.00,23916.00,23916.00,000,23916.00
2015-08-11,24498.1992,24498.1992,24498.1992,24498.1992,000,24498.1992
2015-08-10,24521.0996,24521.0996,24521.0996,24521.0996,000,24521.0996
2015-08-07,24552.50,24552.50,24552.50,24552.50,000,24552.50
2015-08-06,24375.3008,24375.3008,24375.3008,24375.3008,000,24375.3008
2015-08-05,24514.1992,24514.1992,24514.1992,24514.1992,000,24514.1992
2015-08-04,24406.0996,24406.0996,24406.0996,24406.0996,000,24406.0996
2015-08-03,24411.4004,24411.4004,24411.4004,24411.4004,000,24411.4004
2015-07-31,24636.3008,24636.3008,24636.3008,24636.3008,000,24636.3008
2015-07-30,24498.00,24498.00,24498.00,24498.00,000,24498.00
2015-07-29,24619.4004,24619.4004,24619.4004,24619.4004,000,24619.4004
2015-07-28,24503.9004,24503.9004,24503.9004,24503.9004,000,24503.9004
